"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_login","tests.pytest","2026-06-02","passed","2026-06-02","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","2026-06-02","passed","2026-06-02","TestUserInterface","test_markers","",""
"","0","test_regression_case","tests.pytest","2026-06-02","passed","2026-06-02","","test_markers","",""
"","0","test_password_reset","tests.pytest","2026-06-02","passed","2026-06-02","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","2026-06-02","passed","2026-06-02","TestUserAuthentication","test_markers","",""
"","1664","User login with wrong email or password","LMS system","2026-06-02","passed","2026-06-02","Authorization","Authentication","",""
"","1622","Check displaying of dashboard page","LMS system","2026-06-02","passed","2026-06-02","Dashboard","Dashboard","",""
"","0","test_critical_login","tests.pytest","2026-06-02","passed","2026-06-02","","test_markers","",""
"","2840","Edit course","LMS system","2026-06-02","passed","2026-06-02","Courses","Courses","",""
"","2317","Create course","LMS system","2026-06-02","passed","2026-06-02","Courses","Courses","",""
"","1569","Check displaying of empty courses list","LMS system","2026-06-02","passed","2026-06-02","Courses","Courses","",""
"","1475","Navigation from login page to registration page","LMS system","2026-06-02","passed","2026-06-02","Authorization","Authentication","",""
"","1830","Registration with correct email, username and password","LMS system","2026-06-02","passed","2026-06-02","Registration","Authentication","",""
"","1906","User login with wrong email or password","LMS system","2026-06-02","passed","2026-06-02","Authorization","Authentication","",""
"","1827","User login with wrong email or password","LMS system","2026-06-02","passed","2026-06-02","Authorization","Authentication","",""
"","3394","User login with correct email and password","LMS system","2026-06-02","passed","2026-06-02","Authorization","Authentication","",""
